Language,Namespace,Key
de,common,auth.login.passwordReset.title
de,common,dashboard.tutorial.allPagesDesc
de,common,jobPreferences.preferredWorkRadius
de,common,dashboard.onboarding.step3.chain.description
de,common,../admin/pages/system/AuditLogs
de,common,cta.title
de,common,settings.accountDeletion.swissLawNotice
de,common,dashboard.onboarding.buttons.contactAndFinish
de,common,auth.errors.networkError
de,common,documents.replace
de,common,settings.leaveFacility.success
de,common,settings.facilityMemberships.title
de,common,auth.phoneVerificationCode
de,common,canvas
de,common,settings.accountDeletion.immediatelyDeleted
de,common,personalDetails.phonePlaceholder
de,common,relatedPosts
de,common,personalDetails.phoneNumber
de,common,settings.accountDeletion.reauthMessage
de,common,operations.workerRequirementsTitle
de,common,cta.forProfessionals
de,common,../pages/GLNTestVerifPage
de,common,dashboard.onboarding.step1.areYouEmployed
de,common,labels.workPercentage
de,common,auth.signup.lastName
de,common,auth.signup.unsavedChangesWarning
de,common,auth.signup.alreadyHaveAccount
de,common,../../../../services/firebaseService
de,common,standardView
de,common,dashboard.onboarding.phoneVerification.sendCode
de,common,auth.invitation.role
de,common,../admin/pages/payroll/PayrollExport
de,common,operations.placeholder
de,common,auth.signup.lastNamePlaceholder
de,common,values.value4.description
de,common,auth.signup.sendCode
de,common,operations.selectPharmacistOrPlaceholder
de,common,../pages/TestPhonePage
de,common,auth.login.passwordReset.backToLogin
de,common,dashboard.navigation.settings
de,common,Failed to save changes
de,common,cookies.sections
de,common,subscription.features.classic.profileManagement
de,common,contact.form.messagePlaceholder
de,common,operations.selectDays
de,common,subscription.features.classic.basicMatching
de,common,../pages/TestPopupPage
de,common,auth.errors.invalidEmailCode
de,common,en-US
de,common,accountBasics.errors.deleteFailed
de,common,privacy.sections.content.document_title
de,common,subscription.facility.basic.price
de,common,page_view
de,common,documents.selectReferencePlaceholder
de,common,accountBasics.confirmDeleteAccount
de,common,-
de,common,dashboard.onboarding.errors.no_facility_found
de,common,operations.invitationEmailSubject
de,common,auth.errors.multipleErrors
de,common,createEvent
de,common,accountBasics.privacySettings
de,common,auth.rememberPassword
de,common,professional
de,common,labels.benefits
de,common,dashboard.onboarding.step5.title
de,common,dashboard.onboarding.step1.termsAcceptanceText
de,common,labels.workingHours
de,common,values.value1.title
de,common,story.paragraph3
de,common,auth.success.codeSent
de,common,errors.notLoggedIn
de,common,contact.form.success.message
de,common,../pages/profile/Profile
de,common,dashboard.onboarding.buttons.sending
de,common,auth.phoneNumber
de,common,story.paragraph2
de,common,accountBasics.loginInfo
de,common,../pages/personalDashboard/PersonalDashboard
de,common,workspace
de,common,involvedParties
